,0.01,0.99
var_172,0.959006,39.53638899999999
var_173,-13.862296999999998,11.740996999999997
var_174,3.7274299999999996,34.705791999999995
var_175,5.917503,18.379094999999996
var_176,-19.069783,12.912291999999992
var_177,6.7609010000000005,17.354899000000003
var_178,-19.063191999999997,17.11608699999999
var_179,-3.3349919999999997,9.600596999999997
var_180,-13.759898999999999,9.4059
var_181,7.253805,13.467697999999999
var_182,-18.159194,19.31779299999999
var_183,-0.6285770000000002,18.426693999999994
var_184,-6.116189,33.691983999999984
var_185,-14.483593999999998,6.112297999999998
var_186,2.4025,16.33128299999998
var_187,-34.262691000000004,14.055993999999993
var_188,6.941401,23.78309099999999
var_189,-1.3042,2.781697999999998
var_190,-6.656899000000001,13.415997999999997
var_191,1.3384,14.718999
var_192,-1.236698,5.370291999999993
var_193,-5.9441,11.9374
var_194,11.171304000000001,24.468292999999992
var_195,-3.2086989999999997,3.2084
var_196,-8.856895999999999,13.882698999999999
var_197,6.8318,10.870696999999996
var_198,8.630304,22.141198
var_199,-26.198693,16.539994999999994
